entry_date,title,artist,peak,peak_date,weeks_top_ten,year,spotify_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
August 4,"""Poor Little Fool""",Ricky Nelson,1,August 4,6,1958,spotify:track:5ayybTSXNwcarDtxQKqvWX,0.474,0.338,0.0,-11.528,1.0,0.0299,0.648,0.0,0.13,0.81,154.596,audio_features,5ayybTSXNwcarDtxQKqvWX,spotify:track:5ayybTSXNwcarDtxQKqvWX,https://api.spotify.com/v1/tracks/5ayybTSXNwcarDtxQKqvWX,https://api.spotify.com/v1/audio-analysis/5ayybTSXNwcarDtxQKqvWX,153933.0,4.0
August 4,"""Patricia""",Pérez Prado,2,August 4,6,1958,spotify:track:2bwhOdCOLgQ8v6xStAqnju,0.699,0.715,1.0,-5.976,1.0,0.0391,0.18,0.415,0.0704,0.81,137.373,audio_features,2bwhOdCOLgQ8v6xStAqnju,spotify:track:2bwhOdCOLgQ8v6xStAqnju,https://api.spotify.com/v1/tracks/2bwhOdCOLgQ8v6xStAqnju,https://api.spotify.com/v1/audio-analysis/2bwhOdCOLgQ8v6xStAqnju,140000.0,4.0
August 4,"""Splish Splash""",Bobby Darin,3,August 4,3,1958,spotify:track:40fD7ct05FvQHLdQTgJelG,0.645,0.943,0.0,-1.526,1.0,0.0393,0.385,0.0,0.37,0.965,147.768,audio_features,40fD7ct05FvQHLdQTgJelG,spotify:track:40fD7ct05FvQHLdQTgJelG,https://api.spotify.com/v1/tracks/40fD7ct05FvQHLdQTgJelG,https://api.spotify.com/v1/audio-analysis/40fD7ct05FvQHLdQTgJelG,131720.0,4.0
August 4,"""Hard Headed Woman""",Elvis Presley,4,August 4,2,1958,spotify:track:3SU1TXJtAsf8jCKdUeYy53,0.616,0.877,0.0,-4.232,1.0,0.108,0.886,0.000119,0.184,0.919,97.757,audio_features,3SU1TXJtAsf8jCKdUeYy53,spotify:track:3SU1TXJtAsf8jCKdUeYy53,https://api.spotify.com/v1/tracks/3SU1TXJtAsf8jCKdUeYy53,https://api.spotify.com/v1/audio-analysis/3SU1TXJtAsf8jCKdUeYy53,114240.0,4.0
August 4,"""When""",Kalin Twins,5,August 4,5,1958,spotify:track:3HZJ9BLBpDya4p71VfXSWp,0.666,0.468,6.0,-9.823,1.0,0.0315,0.541,4.09e-05,0.119,0.946,93.018,audio_features,3HZJ9BLBpDya4p71VfXSWp,spotify:track:3HZJ9BLBpDya4p71VfXSWp,https://api.spotify.com/v1/tracks/3HZJ9BLBpDya4p71VfXSWp,https://api.spotify.com/v1/audio-analysis/3HZJ9BLBpDya4p71VfXSWp,146573.0,4.0
August 4,"""Rebel Rouser""",Duane Eddy,6,August 4,3,1958,spotify:track:4nAJtcmiyoL0ARY5WZY9IN,0.388,0.434,7.0,-11.997,1.0,0.0354,0.789,0.954,0.728,0.873,206.313,audio_features,4nAJtcmiyoL0ARY5WZY9IN,spotify:track:4nAJtcmiyoL0ARY5WZY9IN,https://api.spotify.com/v1/tracks/4nAJtcmiyoL0ARY5WZY9IN,https://api.spotify.com/v1/audio-analysis/4nAJtcmiyoL0ARY5WZY9IN,153533.0,4.0
August 4,"""Yakety Yak""",The Coasters,7,August 4,1,1958,spotify:track:7demHL0GXA6YmTNqw3Btz8,0.715,0.669,7.0,-9.491,1.0,0.128,0.705,0.000732,0.044,0.976,120.789,audio_features,7demHL0GXA6YmTNqw3Btz8,spotify:track:7demHL0GXA6YmTNqw3Btz8,https://api.spotify.com/v1/tracks/7demHL0GXA6YmTNqw3Btz8,https://api.spotify.com/v1/audio-analysis/7demHL0GXA6YmTNqw3Btz8,113040.0,4.0
August 4,"""My True Love""",Jack Scott,3,August 18,6,1958,spotify:track:2Un1O9CChp4wyTmt422XwW,0.548,0.253,4.0,-11.387,1.0,0.0279,0.871,9.88e-05,0.138,0.238,68.184,audio_features,2Un1O9CChp4wyTmt422XwW,spotify:track:2Un1O9CChp4wyTmt422XwW,https://api.spotify.com/v1/tracks/2Un1O9CChp4wyTmt422XwW,https://api.spotify.com/v1/audio-analysis/2Un1O9CChp4wyTmt422XwW,165027.0,3.0
August 4,"""Willie and the Hand Jive""",The Johnny Otis Show,9,August 4,2,1958,spotify:track:4ToAe9XCKjFGin2Qfswwis,0.778,0.814,6.0,-8.97,1.0,0.14,0.0989,8.07e-06,0.18,0.921,98.857,audio_features,4ToAe9XCKjFGin2Qfswwis,spotify:track:4ToAe9XCKjFGin2Qfswwis,https://api.spotify.com/v1/tracks/4ToAe9XCKjFGin2Qfswwis,https://api.spotify.com/v1/audio-analysis/4ToAe9XCKjFGin2Qfswwis,154733.0,4.0
August 4,"""Fever""",Peggy Lee,8,August 25,3,1958,spotify:track:3aPlQWU07jGgyHaBHVS5TS,0.838,0.171,4.0,-12.614,0.0,0.0729,0.23,0.0,0.11,0.397,135.925,audio_features,3aPlQWU07jGgyHaBHVS5TS,spotify:track:3aPlQWU07jGgyHaBHVS5TS,https://api.spotify.com/v1/tracks/3aPlQWU07jGgyHaBHVS5TS,https://api.spotify.com/v1/audio-analysis/3aPlQWU07jGgyHaBHVS5TS,199600.0,4.0
